,idx,diff,metric_name,decision
0,0,0.1414299,ssim,1
1,1,0.11892306,ssim,1
2,2,0.10013189,ssim,1
3,7,0.34188563,ssim,1
4,32,0.5506658,ssim,1
5,52,0.3651874,ssim,1
6,54,0.26086956,ssim,1
7,213,0.48835626,ssim,1
8,234,0.49784693,ssim,1
9,235,0.44839028,ssim,1
10,245,0.22925402,ssim,1
11,247,0.5024185,ssim,1
12,248,0.4855514,ssim,1
13,251,0.36004496,ssim,1
14,252,0.33096874,ssim,1
15,256,0.489525,ssim,1
16,257,0.53688604,ssim,1
17,258,0.54378927,ssim,1
18,270,0.46696097,ssim,1
19,283,0.3261154,ssim,1
20,290,0.5470884,ssim,1
21,296,0.4976964,ssim,1
22,299,0.43718243,ssim,1
23,302,0.5026358,ssim,1
24,305,0.5396788,ssim,1
25,306,0.5078305,ssim,1
26,324,0.2786187,ssim,1
27,326,0.2646393,ssim,1
28,329,0.53680843,ssim,1
29,330,0.5156694,ssim,1
30,338,0.3894069,ssim,1
31,345,0.49818262,ssim,1
32,347,0.47555473,ssim,1
33,349,0.530278,ssim,1
34,351,0.43426108,ssim,1
35,358,0.5038197,ssim,1
36,369,0.4624765,ssim,1
37,386,0.52319425,ssim,1
38,387,0.4843557,ssim,1
39,407,0.50392014,ssim,1
40,410,0.4934189,ssim,1
41,425,0.5005903,ssim,1
42,477,0.50649005,ssim,1
43,524,0.54696965,ssim,1
44,526,0.50816834,ssim,1
45,580,0.3225146,ssim,1
46,582,0.31258976,ssim,1
47,588,0.50283456,ssim,1
48,590,0.29511356,ssim,1
49,629,0.27355316,ssim,1
50,630,0.2999741,ssim,1
51,635,0.48142064,ssim,1
52,636,0.3854232,ssim,1
53,762,0.42244276,ssim,1
54,764,0.4164354,ssim,1
55,765,0.43889782,ssim,1
56,766,0.5045153,ssim,1
57,768,0.47725502,ssim,1
58,769,0.5274989,ssim,1
59,770,0.35728922,ssim,1
60,773,0.34808192,ssim,1
61,774,0.3717286,ssim,1
62,21,0.99368274,ssim,0
63,78,0.9957404,ssim,0
64,96,0.9982925,ssim,0
65,169,0.9936611,ssim,0
66,204,0.9929108,ssim,0
67,209,0.9950757,ssim,0
68,224,0.9985235,ssim,0
69,277,0.99444366,ssim,0
70,278,0.9941855,ssim,0
71,282,0.99842757,ssim,0
72,384,0.9931887,ssim,0
73,429,0.99814385,ssim,0
74,455,0.99432087,ssim,0
75,474,0.99770635,ssim,0
76,495,0.99809986,ssim,0
77,497,0.99716854,ssim,0
78,527,0.99458843,ssim,0
79,579,0.99759126,ssim,0
80,622,0.99447256,ssim,0
81,659,0.99624515,ssim,0
82,660,0.995703,ssim,0
83,671,0.9935696,ssim,0
84,677,0.9970513,ssim,0
85,678,0.99264985,ssim,0
86,679,0.9934756,ssim,0
87,680,0.99849063,ssim,0
88,683,0.9946676,ssim,0
89,689,0.9944947,ssim,0
90,690,0.9928319,ssim,0
91,691,0.9969924,ssim,0
92,693,0.9954598,ssim,0
93,696,0.9953853,ssim,0
94,697,0.9936912,ssim,0
95,700,0.9987441,ssim,0
96,704,0.9937137,ssim,0
97,705,0.9925374,ssim,0
98,706,0.99581844,ssim,0
99,707,0.9978937,ssim,0
100,708,0.99508506,ssim,0
101,711,0.996715,ssim,0
102,715,0.99555695,ssim,0
103,724,0.9935107,ssim,0
104,727,0.9935929,ssim,0
105,732,0.99475026,ssim,0
106,733,0.99537534,ssim,0
107,734,0.99695367,ssim,0
108,735,0.99278635,ssim,0
109,736,0.9993231,ssim,0
110,737,0.9968569,ssim,0
111,738,0.99549395,ssim,0
112,739,0.9982807,ssim,0
113,740,0.9940083,ssim,0
114,741,0.99421805,ssim,0
115,743,0.9948286,ssim,0
116,754,0.9967756,ssim,0
117,795,0.99395,ssim,0
118,799,0.9953293,ssim,0
119,810,0.9979299,ssim,0
120,818,0.99346197,ssim,0
121,822,0.99302715,ssim,0
122,824,0.99358845,ssim,0
123,826,0.99485236,ssim,0
