,idx,diff,metric_name,decision
0,0,0.1414299,ssim,1
1,1,0.11892306,ssim,1
2,2,0.10013189,ssim,1
3,6,0.59042776,ssim,1
4,7,0.34188563,ssim,1
5,8,0.6621479,ssim,1
6,13,0.63219833,ssim,1
7,23,0.6856742,ssim,1
8,24,0.63756204,ssim,1
9,32,0.5506658,ssim,1
10,52,0.3651874,ssim,1
11,53,0.57907975,ssim,1
12,54,0.26086956,ssim,1
13,55,0.66577524,ssim,1
14,85,0.6660107,ssim,1
15,116,0.5673923,ssim,1
16,173,0.6535619,ssim,1
17,174,0.6720476,ssim,1
18,175,0.64688486,ssim,1
19,176,0.62661386,ssim,1
20,213,0.48835626,ssim,1
21,214,0.5927503,ssim,1
22,215,0.6539277,ssim,1
23,219,0.64868236,ssim,1
24,220,0.58790034,ssim,1
25,234,0.49784693,ssim,1
26,235,0.44839028,ssim,1
27,236,0.62707764,ssim,1
28,242,0.68013483,ssim,1
29,245,0.22925402,ssim,1
30,247,0.5024185,ssim,1
31,248,0.4855514,ssim,1
32,249,0.6367896,ssim,1
33,251,0.36004496,ssim,1
34,252,0.33096874,ssim,1
35,255,0.5842919,ssim,1
36,256,0.489525,ssim,1
37,257,0.53688604,ssim,1
38,258,0.54378927,ssim,1
39,264,0.6115061,ssim,1
40,265,0.5721657,ssim,1
41,270,0.46696097,ssim,1
42,283,0.3261154,ssim,1
43,290,0.5470884,ssim,1
44,293,0.67841357,ssim,1
45,294,0.5919907,ssim,1
46,295,0.5526526,ssim,1
47,296,0.4976964,ssim,1
48,299,0.43718243,ssim,1
49,302,0.5026358,ssim,1
50,304,0.6291192,ssim,1
51,305,0.5396788,ssim,1
52,306,0.5078305,ssim,1
53,312,0.60090315,ssim,1
54,324,0.2786187,ssim,1
55,326,0.2646393,ssim,1
56,329,0.53680843,ssim,1
57,330,0.5156694,ssim,1
58,331,0.6568995,ssim,1
59,332,0.6422034,ssim,1
60,337,0.6775315,ssim,1
61,338,0.3894069,ssim,1
62,345,0.49818262,ssim,1
63,347,0.47555473,ssim,1
64,349,0.530278,ssim,1
65,350,0.6856474,ssim,1
66,351,0.43426108,ssim,1
67,358,0.5038197,ssim,1
68,362,0.68129176,ssim,1
69,369,0.4624765,ssim,1
70,386,0.52319425,ssim,1
71,387,0.4843557,ssim,1
72,393,0.682253,ssim,1
73,407,0.50392014,ssim,1
74,408,0.55298966,ssim,1
75,410,0.4934189,ssim,1
76,425,0.5005903,ssim,1
77,458,0.5741775,ssim,1
78,459,0.61189276,ssim,1
79,460,0.59790134,ssim,1
80,477,0.50649005,ssim,1
81,482,0.675701,ssim,1
82,492,0.6774385,ssim,1
83,494,0.6825338,ssim,1
84,496,0.6794006,ssim,1
85,523,0.6645615,ssim,1
86,524,0.54696965,ssim,1
87,526,0.50816834,ssim,1
88,568,0.60809064,ssim,1
89,577,0.67299384,ssim,1
90,578,0.6718635,ssim,1
91,580,0.3225146,ssim,1
92,582,0.31258976,ssim,1
93,588,0.50283456,ssim,1
94,590,0.29511356,ssim,1
95,594,0.67849064,ssim,1
96,602,0.6112907,ssim,1
97,603,0.56057984,ssim,1
98,608,0.6420238,ssim,1
99,629,0.27355316,ssim,1
100,630,0.2999741,ssim,1
101,635,0.48142064,ssim,1
102,636,0.3854232,ssim,1
103,761,0.62882125,ssim,1
104,762,0.42244276,ssim,1
105,763,0.6608537,ssim,1
106,764,0.4164354,ssim,1
107,765,0.43889782,ssim,1
108,766,0.5045153,ssim,1
109,768,0.47725502,ssim,1
110,769,0.5274989,ssim,1
111,770,0.35728922,ssim,1
112,773,0.34808192,ssim,1
113,774,0.3717286,ssim,1
114,21,0.99368274,ssim,0
115,45,0.99122155,ssim,0
116,51,0.98969233,ssim,0
117,77,0.9904622,ssim,0
118,78,0.9957404,ssim,0
119,81,0.99241006,ssim,0
120,93,0.98900634,ssim,0
121,94,0.98923796,ssim,0
122,96,0.9982925,ssim,0
123,106,0.99126697,ssim,0
124,169,0.9936611,ssim,0
125,189,0.9905133,ssim,0
126,196,0.989309,ssim,0
127,204,0.9929108,ssim,0
128,209,0.9950757,ssim,0
129,224,0.9985235,ssim,0
130,275,0.98853433,ssim,0
131,276,0.98936915,ssim,0
132,277,0.99444366,ssim,0
133,278,0.9941855,ssim,0
134,282,0.99842757,ssim,0
135,314,0.98737615,ssim,0
136,320,0.99205875,ssim,0
137,384,0.9931887,ssim,0
138,418,0.99198544,ssim,0
139,427,0.98795027,ssim,0
140,429,0.99814385,ssim,0
141,440,0.99150264,ssim,0
142,454,0.9919452,ssim,0
143,455,0.99432087,ssim,0
144,457,0.9892518,ssim,0
145,465,0.99148417,ssim,0
146,474,0.99770635,ssim,0
147,493,0.98916715,ssim,0
148,495,0.99809986,ssim,0
149,497,0.99716854,ssim,0
150,527,0.99458843,ssim,0
151,529,0.991547,ssim,0
152,540,0.9887113,ssim,0
153,553,0.9899196,ssim,0
154,570,0.98807925,ssim,0
155,571,0.98938674,ssim,0
156,572,0.99121827,ssim,0
157,575,0.98935544,ssim,0
158,579,0.99759126,ssim,0
159,606,0.98749584,ssim,0
160,622,0.99447256,ssim,0
161,623,0.9922304,ssim,0
162,624,0.9908707,ssim,0
163,646,0.99248224,ssim,0
164,659,0.99624515,ssim,0
165,660,0.995703,ssim,0
166,666,0.9879892,ssim,0
167,671,0.9935696,ssim,0
168,672,0.9881094,ssim,0
169,677,0.9970513,ssim,0
170,678,0.99264985,ssim,0
171,679,0.9934756,ssim,0
172,680,0.99849063,ssim,0
173,683,0.9946676,ssim,0
174,684,0.9878166,ssim,0
175,687,0.9925074,ssim,0
176,689,0.9944947,ssim,0
177,690,0.9928319,ssim,0
178,691,0.9969924,ssim,0
179,692,0.99176276,ssim,0
180,693,0.9954598,ssim,0
181,694,0.98942214,ssim,0
182,696,0.9953853,ssim,0
183,697,0.9936912,ssim,0
184,699,0.99038166,ssim,0
185,700,0.9987441,ssim,0
186,703,0.9921047,ssim,0
187,704,0.9937137,ssim,0
188,705,0.9925374,ssim,0
189,706,0.99581844,ssim,0
190,707,0.9978937,ssim,0
191,708,0.99508506,ssim,0
192,711,0.996715,ssim,0
193,715,0.99555695,ssim,0
194,724,0.9935107,ssim,0
195,727,0.9935929,ssim,0
196,732,0.99475026,ssim,0
197,733,0.99537534,ssim,0
198,734,0.99695367,ssim,0
199,735,0.99278635,ssim,0
200,736,0.9993231,ssim,0
201,737,0.9968569,ssim,0
202,738,0.99549395,ssim,0
203,739,0.9982807,ssim,0
204,740,0.9940083,ssim,0
205,741,0.99421805,ssim,0
206,742,0.9914951,ssim,0
207,743,0.9948286,ssim,0
208,750,0.9897637,ssim,0
209,754,0.9967756,ssim,0
210,778,0.9895253,ssim,0
211,783,0.99152344,ssim,0
212,784,0.9898491,ssim,0
213,790,0.9915892,ssim,0
214,793,0.98965985,ssim,0
215,794,0.9922505,ssim,0
216,795,0.99395,ssim,0
217,797,0.98879284,ssim,0
218,799,0.9953293,ssim,0
219,801,0.9906124,ssim,0
220,810,0.9979299,ssim,0
221,811,0.989474,ssim,0
222,812,0.9891776,ssim,0
223,813,0.9885258,ssim,0
224,818,0.99346197,ssim,0
225,822,0.99302715,ssim,0
226,824,0.99358845,ssim,0
227,826,0.99485236,ssim,0
