,idx,diff,metric_name,decision
0,0,0.1414299,ssim,1
1,1,0.11892306,ssim,1
2,2,0.10013189,ssim,1
3,6,0.59042776,ssim,1
4,7,0.34188563,ssim,1
5,8,0.6621479,ssim,1
6,13,0.63219833,ssim,1
7,17,0.73440516,ssim,1
8,20,0.7018963,ssim,1
9,23,0.6856742,ssim,1
10,24,0.63756204,ssim,1
11,30,0.76556164,ssim,1
12,32,0.5506658,ssim,1
13,52,0.3651874,ssim,1
14,53,0.57907975,ssim,1
15,54,0.26086956,ssim,1
16,55,0.66577524,ssim,1
17,62,0.70257145,ssim,1
18,69,0.7615155,ssim,1
19,70,0.7529693,ssim,1
20,72,0.719926,ssim,1
21,85,0.6660107,ssim,1
22,87,0.72826326,ssim,1
23,89,0.7786966,ssim,1
24,116,0.5673923,ssim,1
25,137,0.7684234,ssim,1
26,158,0.76190364,ssim,1
27,164,0.71017754,ssim,1
28,165,0.69996697,ssim,1
29,172,0.76462775,ssim,1
30,173,0.6535619,ssim,1
31,174,0.6720476,ssim,1
32,175,0.64688486,ssim,1
33,176,0.62661386,ssim,1
34,177,0.7656168,ssim,1
35,197,0.72747576,ssim,1
36,200,0.7177462,ssim,1
37,213,0.48835626,ssim,1
38,214,0.5927503,ssim,1
39,215,0.6539277,ssim,1
40,219,0.64868236,ssim,1
41,220,0.58790034,ssim,1
42,221,0.7773027,ssim,1
43,230,0.7655174,ssim,1
44,231,0.7715439,ssim,1
45,234,0.49784693,ssim,1
46,235,0.44839028,ssim,1
47,236,0.62707764,ssim,1
48,242,0.68013483,ssim,1
49,245,0.22925402,ssim,1
50,247,0.5024185,ssim,1
51,248,0.4855514,ssim,1
52,249,0.6367896,ssim,1
53,251,0.36004496,ssim,1
54,252,0.33096874,ssim,1
55,255,0.5842919,ssim,1
56,256,0.489525,ssim,1
57,257,0.53688604,ssim,1
58,258,0.54378927,ssim,1
59,261,0.7764038,ssim,1
60,264,0.6115061,ssim,1
61,265,0.5721657,ssim,1
62,269,0.770589,ssim,1
63,270,0.46696097,ssim,1
64,272,0.7741299,ssim,1
65,279,0.70308363,ssim,1
66,283,0.3261154,ssim,1
67,286,0.693241,ssim,1
68,287,0.75968105,ssim,1
69,288,0.7849108,ssim,1
70,290,0.5470884,ssim,1
71,293,0.67841357,ssim,1
72,294,0.5919907,ssim,1
73,295,0.5526526,ssim,1
74,296,0.4976964,ssim,1
75,298,0.7146517,ssim,1
76,299,0.43718243,ssim,1
77,302,0.5026358,ssim,1
78,304,0.6291192,ssim,1
79,305,0.5396788,ssim,1
80,306,0.5078305,ssim,1
81,312,0.60090315,ssim,1
82,324,0.2786187,ssim,1
83,326,0.2646393,ssim,1
84,329,0.53680843,ssim,1
85,330,0.5156694,ssim,1
86,331,0.6568995,ssim,1
87,332,0.6422034,ssim,1
88,337,0.6775315,ssim,1
89,338,0.3894069,ssim,1
90,342,0.771945,ssim,1
91,343,0.7232551,ssim,1
92,345,0.49818262,ssim,1
93,347,0.47555473,ssim,1
94,349,0.530278,ssim,1
95,350,0.6856474,ssim,1
96,351,0.43426108,ssim,1
97,358,0.5038197,ssim,1
98,362,0.68129176,ssim,1
99,363,0.73569816,ssim,1
100,366,0.7333081,ssim,1
101,367,0.778124,ssim,1
102,369,0.4624765,ssim,1
103,375,0.71784145,ssim,1
104,379,0.77311075,ssim,1
105,383,0.7065502,ssim,1
106,386,0.52319425,ssim,1
107,387,0.4843557,ssim,1
108,393,0.682253,ssim,1
109,394,0.72457737,ssim,1
110,395,0.7578648,ssim,1
111,396,0.7721882,ssim,1
112,399,0.6925897,ssim,1
113,401,0.7809576,ssim,1
114,403,0.7015075,ssim,1
115,405,0.73755306,ssim,1
116,407,0.50392014,ssim,1
117,408,0.55298966,ssim,1
118,410,0.4934189,ssim,1
119,412,0.7423509,ssim,1
120,413,0.75331074,ssim,1
121,415,0.74384826,ssim,1
122,425,0.5005903,ssim,1
123,436,0.74670607,ssim,1
124,437,0.7177295,ssim,1
125,438,0.6968276,ssim,1
126,445,0.7556304,ssim,1
127,458,0.5741775,ssim,1
128,459,0.61189276,ssim,1
129,460,0.59790134,ssim,1
130,461,0.7340751,ssim,1
131,471,0.7474755,ssim,1
132,477,0.50649005,ssim,1
133,482,0.675701,ssim,1
134,483,0.71224976,ssim,1
135,488,0.7793639,ssim,1
136,492,0.6774385,ssim,1
137,494,0.6825338,ssim,1
138,496,0.6794006,ssim,1
139,505,0.7212697,ssim,1
140,509,0.7680963,ssim,1
141,516,0.77854913,ssim,1
142,518,0.7349501,ssim,1
143,522,0.69807535,ssim,1
144,523,0.6645615,ssim,1
145,524,0.54696965,ssim,1
146,526,0.50816834,ssim,1
147,534,0.73288745,ssim,1
148,535,0.7668991,ssim,1
149,537,0.73056763,ssim,1
150,560,0.7468148,ssim,1
151,564,0.698383,ssim,1
152,567,0.7385956,ssim,1
153,568,0.60809064,ssim,1
154,569,0.7372692,ssim,1
155,577,0.67299384,ssim,1
156,578,0.6718635,ssim,1
157,580,0.3225146,ssim,1
158,582,0.31258976,ssim,1
159,588,0.50283456,ssim,1
160,589,0.70973057,ssim,1
161,590,0.29511356,ssim,1
162,593,0.70469046,ssim,1
163,594,0.67849064,ssim,1
164,600,0.7051072,ssim,1
165,602,0.6112907,ssim,1
166,603,0.56057984,ssim,1
167,607,0.76673484,ssim,1
168,608,0.6420238,ssim,1
169,610,0.72461325,ssim,1
170,613,0.69722104,ssim,1
171,628,0.70171726,ssim,1
172,629,0.27355316,ssim,1
173,630,0.2999741,ssim,1
174,635,0.48142064,ssim,1
175,636,0.3854232,ssim,1
176,652,0.7514499,ssim,1
177,665,0.7136757,ssim,1
178,761,0.62882125,ssim,1
179,762,0.42244276,ssim,1
180,763,0.6608537,ssim,1
181,764,0.4164354,ssim,1
182,765,0.43889782,ssim,1
183,766,0.5045153,ssim,1
184,767,0.7713671,ssim,1
185,768,0.47725502,ssim,1
186,769,0.5274989,ssim,1
187,770,0.35728922,ssim,1
188,773,0.34808192,ssim,1
189,774,0.3717286,ssim,1
190,825,0.7313232,ssim,1
191,853,0.7215266,ssim,1
192,876,0.72940254,ssim,1
193,21,0.99368274,ssim,0
194,45,0.99122155,ssim,0
195,51,0.98969233,ssim,0
196,76,0.9872951,ssim,0
197,77,0.9904622,ssim,0
198,78,0.9957404,ssim,0
199,81,0.99241006,ssim,0
200,86,0.9846939,ssim,0
201,93,0.98900634,ssim,0
202,94,0.98923796,ssim,0
203,96,0.9982925,ssim,0
204,97,0.9816334,ssim,0
205,98,0.9816171,ssim,0
206,104,0.9838811,ssim,0
207,106,0.99126697,ssim,0
208,108,0.9833661,ssim,0
209,125,0.9809841,ssim,0
210,139,0.98566395,ssim,0
211,140,0.9834697,ssim,0
212,141,0.9813002,ssim,0
213,145,0.9804775,ssim,0
214,146,0.98211443,ssim,0
215,147,0.98057777,ssim,0
216,151,0.9786271,ssim,0
217,169,0.9936611,ssim,0
218,171,0.9871315,ssim,0
219,184,0.98381466,ssim,0
220,187,0.98474264,ssim,0
221,189,0.9905133,ssim,0
222,191,0.98298645,ssim,0
223,196,0.989309,ssim,0
224,204,0.9929108,ssim,0
225,207,0.98594,ssim,0
226,209,0.9950757,ssim,0
227,212,0.9854231,ssim,0
228,224,0.9985235,ssim,0
229,239,0.9797089,ssim,0
230,267,0.9833829,ssim,0
231,273,0.9850086,ssim,0
232,274,0.9828981,ssim,0
233,275,0.98853433,ssim,0
234,276,0.98936915,ssim,0
235,277,0.99444366,ssim,0
236,278,0.9941855,ssim,0
237,282,0.99842757,ssim,0
238,309,0.97906303,ssim,0
239,314,0.98737615,ssim,0
240,315,0.9814843,ssim,0
241,320,0.99205875,ssim,0
242,333,0.98600644,ssim,0
243,353,0.979996,ssim,0
244,354,0.9848476,ssim,0
245,360,0.9843829,ssim,0
246,374,0.98371935,ssim,0
247,384,0.9931887,ssim,0
248,397,0.98583007,ssim,0
249,418,0.99198544,ssim,0
250,420,0.98085076,ssim,0
251,427,0.98795027,ssim,0
252,428,0.9848568,ssim,0
253,429,0.99814385,ssim,0
254,431,0.98373973,ssim,0
255,432,0.9807088,ssim,0
256,434,0.98606086,ssim,0
257,440,0.99150264,ssim,0
258,449,0.98460454,ssim,0
259,453,0.98623896,ssim,0
260,454,0.9919452,ssim,0
261,455,0.99432087,ssim,0
262,457,0.9892518,ssim,0
263,463,0.98490715,ssim,0
264,465,0.99148417,ssim,0
265,467,0.98157007,ssim,0
266,474,0.99770635,ssim,0
267,491,0.9850807,ssim,0
268,493,0.98916715,ssim,0
269,495,0.99809986,ssim,0
270,497,0.99716854,ssim,0
271,498,0.98111874,ssim,0
272,499,0.9818166,ssim,0
273,527,0.99458843,ssim,0
274,528,0.98254925,ssim,0
275,529,0.991547,ssim,0
276,540,0.9887113,ssim,0
277,541,0.9852442,ssim,0
278,543,0.9849907,ssim,0
279,551,0.98050326,ssim,0
280,553,0.9899196,ssim,0
281,558,0.98697615,ssim,0
282,570,0.98807925,ssim,0
283,571,0.98938674,ssim,0
284,572,0.99121827,ssim,0
285,575,0.98935544,ssim,0
286,579,0.99759126,ssim,0
287,584,0.98276967,ssim,0
288,606,0.98749584,ssim,0
289,622,0.99447256,ssim,0
290,623,0.9922304,ssim,0
291,624,0.9908707,ssim,0
292,626,0.984441,ssim,0
293,631,0.9804059,ssim,0
294,637,0.98125136,ssim,0
295,646,0.99248224,ssim,0
296,648,0.9870878,ssim,0
297,657,0.97933275,ssim,0
298,658,0.98594636,ssim,0
299,659,0.99624515,ssim,0
300,660,0.995703,ssim,0
301,666,0.9879892,ssim,0
302,671,0.9935696,ssim,0
303,672,0.9881094,ssim,0
304,676,0.98145556,ssim,0
305,677,0.9970513,ssim,0
306,678,0.99264985,ssim,0
307,679,0.9934756,ssim,0
308,680,0.99849063,ssim,0
309,683,0.9946676,ssim,0
310,684,0.9878166,ssim,0
